# http://www.forbes.com/lists/2010/10/billionaires-2010_The-Worlds-Billionaires_Rank.html

Rank	Name	Citizenship	Age	Net Worth ($bil)	Residence
937 	Ion Tiriac	Romania 	70 	1.0 	Romania
937 	Mustafa Latif Topbas	Turkey 	66 	1.0 	Turkey
937 	Murat Vargi	Turkey 	61 	1.0 	Turkey
937 	Rakesh Wadhawan & family	India 	57 	1.0 	India
937 	Wei Ing-Chou	Taiwan 	57 	1.0 	China
937 	Wei Yin-Chun	Taiwan 	53 	1.0 	Taiwan
937 	Wei Yin-Heng	Taiwan 	51 	1.0 	China
937 	Wei Ying-chiao	Taiwan 	55 	1.0 	China
937 	Samuel Wyly	United States 	74 	1.0 	United States
937 	Xian Yang	China 	36 	1.0 	China
937 	Zegar Charles	United States 	62 	1.0 	United States 

